pres_dem_seats,sen_dem_seats,cut_edges,pres_eg,sen_eg,latino_districts
34,38,457,0.16101835209535523,0.16820150416777288,2
34,38,457,0.16101835209535523,0.16820150416777288,2
34,38,455,0.16101835209535523,0.16820150416777288,2
34,38,457,0.16101835209535523,0.16820150416777288,2
34,38,457,0.16101835209535523,0.16820150416777288,2
34,38,461,0.16101835209535523,0.16820150416777288,2
34,38,464,0.16101835209535523,0.16820150416777288,2
34,38,465,0.16101835209535523,0.16820150416777288,2
34,38,467,0.1622520732822502,0.16820150416777288,2
34,38,465,0.1622520732822502,0.16820150416777288,2
34,38,465,0.1622520732822502,0.16820150416777288,2
34,38,465,0.1622520732822502,0.16820150416777288,2
34,38,465,0.1622520732822502,0.16820150416777288,2
34,38,460,0.1622520732822502,0.16820150416777288,2
34,38,461,0.1622520732822502,0.16820150416777288,2
34,38,461,0.1622520732822502,0.16820150416777288,2
34,38,461,0.1622520732822502,0.16820150416777288,2
34,38,462,0.1622520732822502,0.16820150416777288,2
34,38,458,0.1622520732822502,0.16820150416777288,2
34,38,458,0.1622520732822502,0.16820150416777288,2
34,38,457,0.1622520732822502,0.16820150416777288,2
34,38,461,0.1622520732822502,0.16820150416777288,2
34,38,457,0.16147163623750513,0.16820150416777288,2
34,38,457,0.16147163623750513,0.16820150416777288,2
34,38,457,0.16147163623750513,0.16820150416777288,2
34,38,462,0.16147163623750513,0.16820150416777288,2
34,38,460,0.16147163623750513,0.16820150416777288,2
34,38,464,0.16147163623750513,0.16820150416777288,2
